D No%,D Not Voting%,D Yes%,I No%,I Not Voting%,I Yes%,R No%,R Not Voting%,R Yes%,D Members,I Members,R Members,Result
0.25,0.14285714285714285,0.6071428571428571,0.0,0.0,1.0,0.09523809523809523,0.047619047619047616,0.8571428571428571,28,1,21,1
0.25,0.03571428571428571,0.7142857142857143,0.0,0.0,1.0,0.09523809523809523,0.0,0.9047619047619048,28,1,21,1
0.7142857142857143,0.0,0.2857142857142857,0.0,0.0,1.0,0.3333333333333333,0.0,0.6666666666666666,28,1,21,1
0.7142857142857143,0.0,0.2857142857142857,0.0,0.0,1.0,0.3333333333333333,0.0,0.6666666666666666,28,1,21,1
0.25,0.0,0.75,1.0,0.0,0.0,0.5238095238095238,0.0,0.47619047619047616,28,1,21,0
0.10714285714285714,0.03571428571428571,0.8571428571428571,0.0,0.0,1.0,0.047619047619047616,0.047619047619047616,0.9047619047619048,28,1,21,1
0.10714285714285714,0.03571428571428571,0.8571428571428571,0.0,0.0,1.0,0.047619047619047616,0.14285714285714285,0.8095238095238095,28,1,21,1
0.03571428571428571,0.21428571428571427,0.75,0.0,0.0,1.0,0.19047619047619047,0.19047619047619047,0.6190476190476191,28,1,21,1
0.07142857142857142,0.25,0.6785714285714286,0.0,0.0,1.0,0.14285714285714285,0.19047619047619047,0.6666666666666666,28,1,21,1
0.2857142857142857,0.14285714285714285,0.5714285714285714,1.0,0.0,0.0,0.5714285714285714,0.0,0.42857142857142855,28,1,21,0
0.8214285714285714,0.10714285714285714,0.07142857142857142,1.0,0.0,0.0,0.8571428571428571,0.0,0.14285714285714285,28,1,21,0
0.17857142857142858,0.10714285714285714,0.7142857142857143,0.0,0.0,1.0,0.23809523809523808,0.0,0.7619047619047619,28,1,21,1
0.10714285714285714,0.17857142857142858,0.7142857142857143,0.0,0.0,1.0,0.09523809523809523,0.09523809523809523,0.8095238095238095,28,1,21,1
0.10714285714285714,0.03571428571428571,0.8571428571428571,0.0,0.0,1.0,0.09523809523809523,0.0,0.9047619047619048,28,1,21,1
0.25,0.03571428571428571,0.7142857142857143,0.0,0.0,1.0,0.19047619047619047,0.0,0.8095238095238095,28,1,21,1
0.25,0.03571428571428571,0.7142857142857143,0.0,0.0,1.0,0.19047619047619047,0.0,0.8095238095238095,28,1,21,1
0.0,0.03571428571428571,0.9642857142857143,0.0,0.0,1.0,0.0,0.0,1.0,28,1,21,1
0.32142857142857145,0.07142857142857142,0.6071428571428571,0.0,0.0,1.0,0.14285714285714285,0.047619047619047616,0.8095238095238095,28,1,21,1
0.4642857142857143,0.07142857142857142,0.4642857142857143,0.0,0.0,1.0,0.19047619047619047,0.0,0.8095238095238095,28,1,21,1
0.2857142857142857,0.07142857142857142,0.6428571428571429,0.0,0.0,1.0,0.19047619047619047,0.047619047619047616,0.7619047619047619,28,1,21,1
